ticker,earnings_date,direction,pct_change,abs_change,magnitude,sector,finbert_positive,finbert_negative,finbert_neutral,finbert_confidence,guidance_raised_count,guidance_lowered_count,confidence_score,uncertainty_score,guidance_direction,text_length,avg_sentence_sentiment,sentiment_volatility,positive_sentence_ratio,negative_sentence_ratio,forward_looking_ratio,tb_polarity,tb_subjectivity,word_count,unique_positive_signals,unique_negative_signals,momentum_5d,momentum_10d,volatility,volume_surge,rsi,price_slope,dist_52w_high,avg_volume
NVDA,2025-11-19,DOWN,-3.1525,3.1525,MEDIUM,Semi,0.2434,0.0496,0.7071,0.7071,0,0,0,0,0.0,2548,0.0,0.0,0.0,0.0,0.0301,0.0,0.0,133,0,0,-6.419,-12.4034,2.6611,0.954,44.38,-1.5248,-12.4034,200504247.0
NVDA,2025-08-27,DOWN,-0.7875,0.7875,SMALL,Semi,0.02,0.9029,0.0771,0.9029,0,0,0,0,0.0,2943,0.0235,0.0449,0.1765,0.0,0.0276,0.0706,0.1059,145,0,0,3.6317,1.3098,1.2493,1.0783,48.14,-0.2727,-0.7589,155947693.0
NVDA,2025-05-28,UP,3.249,3.249,MEDIUM,Semi,0.0735,0.1044,0.8221,0.8221,0,0,0,0,0.0,2689,0.0342,0.1058,0.1053,0.0,0.0144,0.0578,0.0978,139,0,0,0.8334,19.3412,2.4224,0.9075,72.21,1.5085,-9.3138,212726027.0
NVDA,2025-02-26,DOWN,-8.4781,8.4781,LARGE,Semi,0.8058,0.0325,0.1617,0.8058,0,0,0,0,0.0,2650,0.0667,0.1886,0.1111,0.0,0.028,0.08,0.12,143,0,0,-9.0498,6.7257,2.6108,1.1629,54.37,0.7008,-15.258,215278267.0
NVDA,2024-11-20,UP,0.5347,0.5347,SMALL,Semi,0.3429,0.1561,0.501,0.501,0,0,0,0,0.0,2648,0.0316,0.0921,0.1053,0.0,0.0268,0.0706,0.1412,149,0,0,0.5059,5.5045,2.6666,1.1291,52.07,0.6947,-1.2561,206412273.0
NVDA,2024-08-28,DOWN,-6.3848,6.3848,LARGE,Semi,0.2041,0.0614,0.7345,0.7345,0,0,0,0,0.0,2653,0.0286,0.0881,0.0952,0.0,0.0284,0.08,0.1467,141,0,0,-0.1556,29.7139,3.0732,0.9773,62.97,2.0676,-5.3695,326876500.0
NVDA,2024-05-22,UP,9.3197,9.3197,LARGE,Semi,0.0516,0.0461,0.9023,0.9023,0,0,0,0,0.0,2633,0.09,0.1953,0.2,0.0,0.0136,0.16,0.2,147,0,0,0.7989,14.8662,1.9992,0.9118,65.17,0.6542,0.0,368265400.0
AMD,2026-02-03,DOWN,-17.3144,17.3144,LARGE,Semi,0.3521,0.0931,0.5549,0.5549,0,0,0,0,0.0,2308,0.041,0.0968,0.2222,0.0,0.048,0.1,0.1667,125,0,0,-2.2854,18.5758,3.3574,0.8912,43.93,2.5574,-6.8324,40406867.0
AMD,2025-10-28,UP,2.4495,2.4495,MEDIUM,Semi,0.0268,0.7909,0.1823,0.7909,0,0,0,0,0.0,2589,0.0322,0.0501,0.3125,0.0,0.0889,0.0957,0.1826,135,0,0,9.0913,22.7696,4.9225,0.7349,64.65,2.2048,0.0,79760153.0
AMD,2025-07-29,UP,1.1666,1.1666,SMALL,Semi,0.0703,0.1896,0.7401,0.7401,0,0,0,0,0.0,2643,0.0307,0.0681,0.1875,0.0,0.1102,0.1203,0.242,127,0,0,12.2415,26.0049,2.2836,1.0892,66.82,2.0825,0.0,52069000.0
AMD,2025-04-29,UP,1.3429,1.3429,SMALL,Semi,0.0237,0.9086,0.0677,0.9086,1,1,0,0,0.0,2669,0.0167,0.0943,0.0556,0.0,0.0296,0.0,0.2,135,1,1,11.7436,15.2439,7.5425,0.6391,56.04,0.5275,-47.6027,48352980.0
AMD,2025-01-28,UP,2.7853,2.7853,MEDIUM,Semi,0.6729,0.0499,0.2773,0.6729,0,0,0,0,0.0,2488,0.0309,0.064,0.2105,0.0,0.0153,0.1093,0.1759,131,0,0,-5.9454,-8.2635,2.8678,0.9898,44.59,-0.3473,-45.5909,39588433.0
